Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1309,1.60,0.72,0.50,140.137,28.320,1000.000,-19.65,-13.65,-27.30,16.48
1325,0.12,-1.57,-0.92,37.598,28.320,1039.551,-20.25,-13.05,-27.90,16.24
1335,-1.44,0.70,0.16,89.355,24.414,1052.734,-18.75,-11.55,-27.15,16.38
1345,0.34,0.16,-2.94,140.625,39.551,1011.230,-18.00,-11.85,-28.65,16.38
1355,1.54,-3.12,-1.66,190.918,-13.672,1012.207,-19.35,-12.15,-29.10,16.10
1365,-0.91,2.44,-4.18,37.109,33.691,980.469,-19.20,-13.05,-29.70,16.19
1375,0.95,-0.47,-2.31,60.547,25.391,1021.484,-19.20,-13.05,-29.70,16.38
1385,1.02,-1.01,-3.45,131.836,4.883,1039.063,-22.65,-13.05,-31.20,16.48
1397,0.08,0.20,-2.10,157.227,-11.719,1002.441,-22.80,-12.45,-31.80,16.38
1407,-0.86,-0.08,-2.64,-15.137,36.621,1017.578,-22.80,-12.45,-31.80,16.10
1417,0.89,-0.76,-1.77,100.586,25.391,1084.961,-23.25,-11.70,-31.05,16.38
1427,0.21,-0.40,-2.48,179.199,38.086,1065.430,-23.70,-12.75,-31.65,16.24
1437,-0.34,-1.86,-0.44,53.711,28.320,907.715,-23.25,-12.45,-31.80,16.24
1447,1.39,-0.05,-2.92,61.035,46.875,1033.203,-22.80,-12.45,-31.05,16.29
1457,-0.34,0.47,-2.03,181.152,9.277,890.137,-22.80,-12.45,-31.05,16.29
1469,0.27,0.70,1.53,128.906,-10.742,1020.996,-24.15,-13.50,-30.90,16.62
1479,1.16,-0.75,-3.51,30.273,-19.531,1101.563,-22.95,-12.75,-29.40,16.38
1489,0.20,-0.73,-3.28,267.090,9.766,941.895,-21.90,-10.65,-28.65,16.43
1499,0.23,-1.44,-2.06,96.191,61.523,978.516,-20.85,-12.90,-28.80,16.29
1509,0.37,-2.08,-2.19,-65.430,49.805,1099.121,-20.85,-12.45,-27.30,16.38
1519,-2.74,1.72,-1.27,323.730,-60.547,1082.031,-19.50,-13.05,-27.45,16.19
1529,-1.60,-1.01,-3.75,-22.949,118.652,899.414,-18.75,-13.80,-27.45,16.24
1541,-2.92,0.49,-5.06,47.852,-67.383,770.020,-18.75,-13.80,-27.45,15.86
1551,-7.41,-3.37,-27.20,271.973,72.754,807.617,-17.55,-12.30,-28.20,16.38
1561,0.59,-0.66,-1.38,-32.227,-34.668,1172.363,-18.15,-13.20,-30.30,16.38
1571,-2.05,1.70,-1.82,148.437,-82.031,1120.117,-20.25,-13.05,-31.20,16.38
1581,-0.92,4.40,1.49,177.246,67.871,928.711,-22.65,-13.05,-30.90,16.38
1591,-0.37,-2.15,1.75,46.875,9.766,1197.754,-22.80,-12.15,-32.25,16.72
1601,-0.94,2.47,-4.43,262.207,-60.547,941.895,-23.70,-11.55,-32.40,16.29
1613,-0.42,0.34,-6.09,66.406,-157.227,1395.508,-24.00,-13.20,-31.50,16.19
1623,-0.44,0.24,1.56,452.637,-49.805,815.918,-23.70,-13.50,-30.15,16.24
1633,-2.56,0.85,-4.85,62.012,-2.441,1179.199,-22.35,-11.25,-28.35,16.48
1643,-4.18,-0.84,-5.18,333.008,15.137,998.535,-20.85,-11.25,-28.35,16.43
1653,1.50,3.23,-4.76,5.371,183.594,959.961,-19.95,-15.00,-27.15,16.48
1663,2.18,3.37,-2.15,304.687,88.867,1205.078,-19.95,-15.00,-27.15,16.62
1672,-4.66,0.85,-3.44,41.504,-22.461,942.383,-19.95,-15.00,-27.15,16.29
1684,-1.34,-0.69,-3.63,344.238,-67.871,1191.406,-18.90,-12.45,-29.55,16.29
