Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1414,3.10,-0.65,-1.32,90.820,-38.574,715.820,-18.60,-11.70,-26.55,18.88
1429,0.66,-2.98,-2.74,119.141,58.594,985.840,-19.50,-10.65,-28.95,18.59
1439,7.44,-1.13,-2.01,179.199,-33.203,1259.277,-21.30,-11.70,-29.55,18.83
1449,2.67,2.30,-3.47,126.465,90.332,958.496,-21.30,-11.70,-29.55,18.92
1459,2.55,-1.29,-1.71,213.867,30.762,1123.047,-25.35,-10.65,-33.15,18.54
1469,2.20,0.92,0.22,76.660,89.844,766.602,-25.80,-10.95,-32.55,18.88
1479,1.11,-3.10,-4.14,220.215,-43.945,1046.387,-26.10,-11.55,-28.95,19.07
1489,1.43,0.22,-4.89,145.508,-4.883,1134.766,-22.35,-12.15,-28.05,18.88
1501,-1.48,-1.92,0.72,198.730,95.215,920.410,-22.35,-12.15,-28.05,18.88
1511,-2.07,-1.39,-3.71,61.523,57.617,1012.207,-17.40,-11.70,-25.80,19.02
1521,-1.27,2.05,-6.83,238.770,36.133,863.770,-17.85,-10.05,-26.10,19.07
1531,-1.40,-0.40,-3.25,125.488,47.363,959.961,-17.85,-10.05,-26.10,18.68
1541,-2.69,-1.95,-1.95,206.055,-73.730,1183.105,-22.65,-9.90,-31.65,18.54
1551,-2.29,-0.47,-3.31,175.293,90.332,950.195,-24.90,-10.65,-31.65,18.88
1561,-2.15,-2.27,-5.23,29.785,-18.066,1032.715,-26.10,-11.10,-31.95,18.92
1573,-3.27,-2.03,-5.65,269.531,13.672,830.078,-24.60,-11.10,-29.70,18.83
1583,-2.11,-0.60,-7.34,157.715,-92.773,1020.996,-24.60,-11.10,-29.70,18.88
1593,-0.70,-1.57,-5.45,159.180,-0.488,814.453,-18.45,-8.70,-25.65,18.92
1603,-0.50,-0.53,-2.85,76.660,156.738,1158.691,-18.45,-8.70,-25.65,18.92
1613,-0.14,-4.27,-4.93,158.691,-34.668,800.293,-18.75,-11.55,-26.40,18.83
1623,-0.85,-0.09,-2.54,93.750,-50.293,1345.215,-22.95,-9.45,-30.45,18.49
1633,-0.75,-1.05,-4.75,156.250,41.504,863.770,-22.95,-9.45,-30.45,18.83
1645,0.40,1.17,-0.76,252.441,10.254,1060.547,-25.35,-12.30,-30.15,18.68
1655,-1.85,3.14,-3.82,271.973,-50.781,668.945,-25.35,-12.30,-30.15,19.07
1665,-1.33,0.16,-2.62,238.770,27.832,1441.895,-18.90,-11.70,-25.35,19.07
1675,-2.69,1.40,-2.36,131.836,102.051,683.105,-18.75,-9.45,-26.70,18.88
1685,-1.94,1.60,-3.60,291.016,-81.055,1269.531,-20.70,-9.90,-30.45,18.88
1695,0.82,1.08,-3.80,200.195,-96.680,863.770,-22.95,-9.15,-31.65,19.07
1705,-0.42,-0.66,-5.27,152.344,16.113,968.750,-22.95,-9.15,-31.65,18.73
1717,0.31,-2.21,-2.30,356.445,-63.965,1011.230,-25.05,-10.95,-31.05,18.68
1727,-2.89,1.45,-6.02,159.668,121.094,832.520,-21.00,-12.30,-28.20,18.83
1737,-1.40,-2.32,-2.47,282.227,20.020,1036.621,-18.45,-12.30,-26.40,19.07
1747,3.02,-1.76,-2.72,130.371,-14.160,946.777,-18.60,-9.75,-28.35,18.83
1757,-0.34,-1.07,-3.36,206.543,-39.063,1066.895,-18.60,-9.75,-28.35,18.88
1767,-0.74,3.04,-6.47,297.363,4.395,1130.371,-25.35,-9.15,-32.70,18.88
1777,-1.37,2.21,-2.84,-66.406,121.582,993.652,-25.65,-11.10,-31.65,18.92
1789,-0.10,1.53,-1.71,276.855,-81.055,987.305,-23.70,-11.10,-30.15,18.83
1799,-0.07,2.79,-3.41,364.258,-77.637,961.914,-19.35,-11.70,-26.10,18.88
1809,2.56,-1.50,-6.67,-53.711,169.922,983.887,-19.35,-11.70,-26.10,18.83
1819,-0.38,0.05,-8.25,178.223,-124.512,1359.375,-21.45,-10.35,-30.90,18.92
1829,-1.04,2.26,-5.88,408.691,88.867,949.707,-24.00,-9.30,-33.00,19.02
1839,-1.96,0.68,-3.40,-65.430,128.418,1198.242,-24.00,-9.30,-33.00,19.02
1851,3.04,-3.47,0.55,318.359,-136.719,937.988,-21.45,-11.10,-28.20,19.07
1861,0.02,-0.82,-3.99,258.789,-122.070,854.004,-18.60,-10.50,-25.80,19.26
1871,3.86,-0.28,-0.98,-15.625,-137.695,1171.875,-18.60,-9.30,-28.35,19.02
1881,-2.52,1.10,-7.89,504.883,50.781,712.402,-21.45,-8.70,-31.95,18.92
1891,-1.27,-0.03,-5.30,246.094,49.805,924.805,-21.45,-8.70,-31.95,18.68
1901,1.69,-1.00,-3.05,220.703,86.914,940.430,-24.30,-11.70,-31.05,19.07
