Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1365,1.25,1.02,-3.48,-17.578,58.594,985.352,-21.60,-8.10,-31.80,17.63
1382,-0.58,2.16,-0.38,-10.742,58.105,1057.617,-20.55,-9.30,-31.80,17.53
1391,-1.51,-0.36,-0.08,24.414,45.410,1041.504,-22.35,-8.55,-31.50,17.87
1401,0.87,1.48,-0.48,69.824,20.508,954.102,-20.85,-9.75,-29.55,17.77
1411,0.31,-2.33,-2.82,39.551,-9.766,1062.500,-20.70,-9.45,-29.40,17.77
1421,1.06,-0.08,0.04,95.215,35.645,975.098,-19.50,-8.70,-30.15,17.44
1431,0.82,-0.50,1.44,72.266,19.043,1066.406,-19.50,-8.70,-30.15,17.68
1440,-0.02,1.28,-2.87,19.043,23.926,958.496,-20.10,-10.05,-29.10,17.49
1452,-0.42,0.43,-1.99,33.203,19.531,1020.020,-20.55,-9.30,-29.85,18.01
1462,0.05,1.10,-0.12,-18.555,18.066,1002.930,-20.70,-8.70,-30.90,17.82
1472,-2.31,-0.47,-0.05,-10.254,47.363,998.047,-20.10,-8.85,-29.85,17.82
1482,-0.74,-0.25,-0.73,51.270,32.715,1054.199,-20.10,-8.85,-29.85,17.63
1492,0.75,0.84,-0.44,56.641,30.762,1015.625,-20.55,-10.05,-29.10,17.68
1502,-0.31,-0.82,-2.46,90.820,45.410,1153.320,-20.25,-10.65,-29.40,17.87
1512,0.08,0.37,0.11,114.746,37.598,988.281,-20.25,-10.65,-29.40,17.82
1524,-0.56,0.92,-0.57,29.785,37.598,1070.313,-20.55,-11.25,-29.55,17.87
1534,-1.48,0.89,0.60,24.414,11.719,964.355,-20.25,-9.45,-28.95,17.82
1544,1.79,0.80,-0.18,44.922,29.297,1066.895,-19.20,-9.15,-28.65,17.77
1553,-0.63,-0.84,1.30,89.355,22.949,1007.324,-19.20,-9.15,-28.65,17.82
1563,2.13,1.06,1.19,65.430,27.832,1010.742,-19.95,-7.95,-30.15,17.53
1573,-3.29,0.58,-1.56,119.629,9.277,1008.789,-18.90,-9.30,-30.30,17.77
1583,1.45,1.20,1.19,73.242,55.176,1001.953,-18.90,-9.30,-30.30,17.53
1595,-2.31,1.25,-0.50,41.016,12.207,953.125,-19.65,-10.50,-30.30,17.77
1605,-0.70,1.25,-1.30,51.270,20.996,1041.504,-19.65,-10.50,-30.30,17.77
1615,-0.38,1.76,-2.22,76.660,7.324,979.980,-20.55,-9.30,-31.50,17.87
1625,0.47,2.86,0.79,129.395,5.371,1053.223,-21.90,-9.90,-31.65,17.87
1635,-2.08,1.75,-3.60,88.867,12.695,957.520,-21.90,-9.90,-31.65,17.68
1645,0.06,1.14,-3.54,26.855,22.949,1097.656,-22.35,-9.30,-31.05,17.77
1655,-1.35,1.31,-0.21,45.898,23.437,958.984,-22.35,-7.65,-32.55,17.82
1667,1.42,-2.67,6.08,91.797,11.230,1093.262,-22.35,-7.35,-33.30,17.77
1677,1.66,1.05,1.67,127.930,41.992,1020.996,-21.45,-8.70,-33.15,17.77
1687,0.46,-0.65,-1.06,22.461,32.715,1051.270,-21.45,-8.70,-33.15,17.63
1697,1.50,0.56,-0.69,59.082,32.227,984.863,-24.00,-9.75,-33.30,17.87
1707,-1.19,0.82,-4.31,139.648,40.039,976.562,-24.00,-9.75,-32.55,17.87
1717,0.25,0.02,1.62,132.324,59.082,981.934,-23.25,-10.50,-30.75,17.53
1727,-0.47,0.38,-5.66,46.387,29.297,997.559,-24.00,-9.75,-32.55,17.97
1737,-1.00,0.27,-0.46,80.566,46.875,1028.320,-23.25,-9.75,-31.05,18.01
1749,-2.79,-0.85,-1.93,126.465,32.227,1047.363,-22.20,-8.70,-30.15,17.77
1759,-0.61,1.63,2.03,98.145,-25.879,1018.066,-21.45,-10.35,-29.40,17.77
1769,2.63,0.07,1.26,2.441,77.148,1160.156,-21.45,-10.35,-29.40,17.87
1779,-0.30,-0.24,-0.69,96.680,35.645,1018.066,-21.00,-11.55,-29.40,17.82
1789,0.36,-0.69,-2.85,184.570,5.371,996.094,-19.65,-10.95,-28.35,17.82
1799,-1.06,1.37,-0.62,4.395,29.297,1016.113,-20.10,-9.75,-28.80,17.87
1809,0.01,0.60,0.63,110.352,-27.344,1109.863,-18.15,-9.75,-29.10,17.68
1821,1.00,1.35,-0.45,195.801,37.598,968.262,-18.15,-9.75,-29.10,17.68
1831,1.12,0.83,0.70,-13.184,26.367,1004.883,-20.10,-10.05,-29.55,17.68
1841,1.27,-0.30,-2.67,101.563,1.953,1056.152,-20.85,-9.30,-30.75,18.01
1851,0.78,-0.37,-0.40,242.187,89.355,998.047,-20.85,-9.30,-30.75,17.87
1861,1.50,0.47,-10.02,-62.500,-34.180,958.496,-23.40,-8.70,-32.70,17.77
1871,2.50,1.92,2.95,142.578,-34.668,1127.930,-22.05,-8.10,-32.25,17.87
1895,2.53,0.93,-0.79,-13.672,0.488,1093.262,-24.00,-9.75,-34.50,17.97
1904,1.71,1.08,-2.94,246.582,-68.848,1000.977,-24.30,-9.75,-32.25,17.87
1914,-1.03,-2.93,2.11,75.195,37.109,892.090,-23.55,-10.05,-31.50,17.63
1924,0.45,-1.09,-1.13,62.500,23.437,1104.004,-22.20,-9.90,-30.15,17.53
