Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1426,-0.02,2.52,-1.35,48.340,129.883,1068.848,-19.20,-6.30,-32.40,18.88
1444,-2.24,-1.18,-5.38,146.484,113.281,787.598,-20.85,-6.15,-31.80,18.92
1453,-1.95,-3.94,0.01,81.055,1.465,1430.176,-19.95,-5.85,-29.70,18.83
1463,1.11,-0.95,-3.62,177.734,53.711,740.234,-17.85,-6.15,-28.35,19.07
1473,-5.40,-2.41,-2.73,179.687,147.461,1203.613,-17.85,-6.15,-28.35,19.12
1483,2.52,2.67,-1.74,228.027,-65.918,882.324,-14.85,-6.30,-26.40,19.07
1493,-0.85,0.54,1.38,141.602,160.156,1086.914,-14.85,-6.30,-26.40,19.12
1502,-1.69,-0.51,-0.28,163.086,-44.434,1263.184,-14.85,-6.30,-26.40,18.88
1514,0.54,-1.98,0.08,57.617,106.934,596.680,-16.80,-6.75,-30.45,18.83
1524,1.06,-1.85,4.91,232.910,-64.453,874.512,-16.80,-6.75,-30.45,19.12
1534,-0.79,1.50,0.48,210.937,33.203,1094.238,-19.65,-6.45,-33.00,19.21
1544,-2.27,-3.18,2.27,62.500,9.766,1012.695,-21.45,-8.70,-31.95,19.12
1554,1.08,-0.78,-3.10,243.652,-41.016,1120.117,-18.75,-7.50,-28.95,19.12
1564,0.95,1.24,-0.93,185.059,-32.227,942.383,-16.50,-7.95,-26.70,18.92
1574,-4.16,-1.60,-1.09,161.133,69.824,1041.016,-16.50,-7.95,-26.70,18.92
1586,-0.78,-1.92,1.18,105.957,8.301,1289.551,-13.80,-6.75,-26.40,19.36
1596,-2.60,-0.08,-1.99,349.609,10.742,976.562,-15.15,-6.15,-26.85,18.92
1606,-2.08,0.18,-0.06,131.348,79.102,1060.547,-17.40,-6.45,-31.05,19.07
1616,1.52,-0.27,-0.79,152.344,22.949,1123.535,-21.45,-7.05,-31.20,19.26
1626,-0.91,2.02,-3.23,29.297,17.090,761.719,-21.45,-7.05,-31.20,19.21
1636,-1.31,-0.60,-0.40,336.914,36.621,1251.953,-20.10,-8.85,-30.75,18.92
1646,-1.28,2.76,-0.47,113.770,104.004,793.945,-17.40,-6.90,-28.05,18.92
1658,-1.27,-1.70,-2.92,280.273,-0.488,729.004,-16.65,-8.55,-23.85,19.12
1668,2.04,2.11,0.64,-33.203,26.367,1170.410,-13.05,-7.50,-24.45,19.02
1678,1.40,0.39,-0.21,247.559,117.676,1002.441,-13.05,-7.50,-24.45,18.83
1688,1.00,0.99,-0.55,100.098,54.199,1036.621,-18.60,-7.35,-29.55,19.07
1697,0.02,-3.72,-1.04,238.281,103.516,951.172,-21.30,-8.85,-30.75,19.12
1707,1.76,2.34,-3.38,94.727,83.496,1152.344,-21.30,-8.85,-30.75,19.12
1716,-2.79,-2.64,-0.21,204.102,6.348,1184.082,-18.60,-9.30,-27.30,18.83
1728,-1.64,-1.66,-1.50,271.973,30.273,1176.270,-16.50,-9.90,-24.15,19.07
