Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1312,-1.37,-0.82,-2.16,61.523,21.484,1047.363,-19.20,-14.70,-31.20,15.71
1328,-0.22,-2.85,-2.68,192.383,34.180,1103.516,-19.95,-15.00,-31.65,15.67
1337,0.29,-0.72,1.24,105.469,24.414,959.473,-21.45,-14.25,-34.20,15.52
1347,-0.38,-1.37,-3.12,41.504,14.648,1057.617,-22.35,-15.30,-34.05,15.76
1357,0.51,-0.43,-1.05,189.941,71.289,979.492,-23.40,-13.80,-34.95,15.52
1367,-1.05,0.54,-4.73,233.398,49.805,979.980,-23.55,-13.65,-34.05,15.76
1377,0.46,-1.66,-1.18,-33.691,29.785,958.496,-24.30,-14.85,-34.50,15.71
1387,-1.21,-2.19,-3.68,177.734,-47.852,1119.141,-22.35,-16.05,-34.05,15.86
1399,-1.03,-1.07,-3.15,183.105,84.473,924.316,-23.40,-15.90,-34.65,15.33
1409,0.23,-0.19,-3.18,-31.738,-41.992,1181.641,-23.40,-15.90,-34.65,15.95
1419,0.40,-1.92,-5.16,255.859,49.316,1044.434,-20.85,-13.65,-31.05,15.76
1429,0.55,0.49,-2.26,148.437,64.941,772.949,-20.70,-14.25,-30.45,15.71
1438,0.62,-0.21,-3.41,-75.684,-62.500,1100.586,-19.50,-15.90,-29.70,15.71
1448,-1.66,-2.56,-1.73,345.215,43.945,1003.906,-18.90,-15.30,-28.80,15.43
1458,-2.05,-0.29,-1.94,51.758,18.066,898.437,-18.00,-16.20,-28.65,15.91
1470,0.06,-3.38,-2.27,129.395,59.082,1148.926,-16.80,-13.50,-28.95,15.38
1480,0.21,-1.08,-0.85,347.656,-99.121,826.172,-17.40,-14.85,-29.85,15.67
1490,0.52,-1.26,-3.38,3.906,5.371,1158.203,-17.40,-14.85,-29.85,15.71
1500,-2.65,-0.12,-2.62,265.625,-28.320,1022.461,-21.45,-15.90,-32.70,15.76
1510,-3.73,3.05,-3.32,16.113,146.484,863.770,-22.35,-14.10,-33.75,15.86
1520,0.16,-2.85,-2.18,158.691,29.297,1024.902,-23.55,-12.90,-35.25,15.76
1530,-1.15,-4.65,-5.45,161.133,70.313,735.352,-23.55,-14.40,-34.05,15.71
1542,1.62,-2.38,-3.02,166.016,-43.457,1246.094,-24.90,-15.90,-34.20,15.76
1552,0.25,-3.31,-4.28,86.426,41.992,943.848,-24.30,-16.80,-32.25,15.43
1562,-0.76,-3.79,-1.86,78.613,-123.535,1256.836,-21.90,-13.50,-31.95,15.76
1572,-0.18,1.13,-0.83,189.453,-66.406,589.844,-21.90,-13.50,-31.95,15.76
1582,-4.32,-0.56,-6.10,127.441,-76.172,1389.648,-19.50,-16.65,-29.70,15.86
1592,-1.33,-0.74,-1.89,211.426,57.617,824.219,-18.90,-15.60,-28.05,15.57
1602,-2.56,0.51,-3.19,80.078,12.207,1476.563,-18.90,-15.60,-28.05,15.43
1614,1.58,0.95,-4.34,157.715,81.543,697.754,-20.10,-15.30,-32.55,15.71
1624,-1.98,2.20,-3.47,219.727,-34.668,1133.789,-22.80,-13.65,-33.30,15.86
1634,0.57,-0.05,-0.08,131.348,5.859,645.996,-24.90,-13.80,-33.45,15.71
1644,-2.43,1.28,-2.80,322.266,-33.203,1149.414,-24.90,-13.80,-33.45,15.91
1654,0.42,0.44,-2.76,188.965,64.941,638.184,-24.90,-15.90,-32.40,15.86
1664,0.81,2.32,-2.27,220.703,-8.789,1060.059,-23.55,-15.60,-31.50,15.76
1674,0.20,0.61,-3.72,224.121,-85.449,1045.898,-23.55,-15.60,-31.50,15.71
1686,-4.18,0.44,-3.59,139.648,126.465,672.852,-19.35,-16.05,-29.10,15.67
1696,-1.05,-2.38,-4.24,244.629,20.020,1059.570,-18.90,-14.85,-27.60,15.71
1706,1.35,2.11,-1.98,200.684,33.203,1014.648,-18.75,-15.90,-29.40,15.95
1716,-0.96,-1.40,-4.27,18.555,69.336,1030.762,-21.30,-14.85,-30.30,15.38
1726,-0.13,-0.92,0.42,221.191,-109.863,1131.348,-21.30,-14.85,-30.30,15.86
1736,-1.54,-0.38,-2.26,235.352,218.262,836.426,-24.15,-14.70,-34.20,15.76
1748,-0.27,-3.53,-2.92,89.844,62.988,984.375,-25.05,-14.40,-33.00,15.71
1758,1.05,-0.26,-2.52,256.836,-147.949,995.605,-25.05,-14.40,-33.00,15.76
1768,-1.55,2.15,-5.53,293.945,177.734,944.336,-21.45,-15.00,-29.40,15.95
1778,0.78,-2.07,-3.33,281.738,-36.621,1109.375,-18.60,-15.60,-27.60,15.71
1788,-1.03,-0.17,-5.43,-52.246,3.906,1158.691,-18.60,-14.40,-29.10,15.57
1798,-3.42,0.34,-3.82,359.375,69.824,689.453,-18.75,-15.00,-29.70,15.57
1808,-1.54,1.64,-3.18,121.094,45.410,1120.605,-18.75,-15.00,-29.70,15.57
1820,-1.31,-1.88,-2.55,307.617,119.141,945.312,-24.75,-13.20,-34.05,15.76
1842,-0.66,-1.48,-3.59,373.535,82.520,809.082,-26.40,-15.45,-35.70,15.76
1851,-1.36,-0.16,-4.19,216.309,-59.570,907.227,-22.35,-16.05,-30.30,15.95
1861,-2.09,0.47,-4.17,318.848,98.633,996.094,-19.20,-16.65,-27.90,15.95
1871,-0.74,2.89,-6.09,16.602,-48.828,1124.512,-18.15,-14.85,-28.05,15.71
1881,0.64,-2.93,-3.50,241.699,34.180,1039.063,-19.65,-13.65,-30.75,15.67
1891,-0.28,-1.03,-2.66,214.844,83.984,985.352,-19.65,-13.65,-30.75,15.38
1903,-0.74,0.74,-1.56,75.195,155.273,806.152,-26.10,-15.00,-33.90,15.67
1913,-1.40,0.05,-4.19,407.227,-171.875,1228.516,-26.10,-15.00,-33.90,15.71
1923,-0.78,-0.78,-2.45,277.344,-44.922,880.371,-20.55,-17.25,-33.90,15.86
1933,-1.92,-2.56,-5.89,55.664,87.402,1312.988,-19.20,-13.80,-28.95,15.86
