Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1350,-0.03,1.84,-4.67,169.434,-62.988,1084.961,-22.65,-9.90,-31.65,17.82
1366,0.46,-0.57,-2.15,160.156,23.926,1215.820,-20.55,-10.50,-27.30,18.06
1376,0.66,-2.40,-0.55,205.566,-72.754,928.223,-17.25,-10.65,-25.95,17.97
1386,-0.20,1.71,-0.96,228.516,-74.219,1105.957,-18.45,-9.90,-27.15,17.87
1396,-1.73,1.08,-3.63,20.020,115.234,923.340,-18.45,-9.90,-27.15,18.16
1406,-0.15,0.02,-1.02,237.793,72.754,1063.965,-22.65,-9.15,-30.90,17.97
1416,-0.20,-0.73,-2.62,123.047,-66.406,932.617,-24.15,-9.90,-30.45,18.01
1426,-2.47,-1.50,-3.56,162.598,13.184,1166.992,-24.15,-9.90,-30.45,17.87
1438,-0.16,-1.09,-6.18,184.082,-159.180,1084.473,-18.75,-10.65,-25.65,17.82
1448,-1.11,-0.58,-0.85,121.094,3.906,1012.207,-18.45,-10.35,-25.65,17.63
1458,-3.71,1.32,-2.66,126.953,37.598,1029.785,-18.00,-9.45,-27.45,17.97
1468,0.11,2.50,-3.51,137.207,144.043,1018.066,-21.00,-9.15,-31.65,17.97
1477,1.72,0.53,0.16,240.723,-117.188,925.781,-21.00,-9.15,-31.65,18.01
1487,-1.37,-0.50,-4.73,162.109,-30.273,982.422,-23.25,-10.05,-29.85,18.01
1497,-2.42,-1.34,-2.70,96.191,15.625,1020.996,-19.65,-10.50,-26.55,17.68
1509,0.22,1.95,-5.95,175.293,30.762,1009.277,-18.00,-10.65,-25.65,17.97
1519,-1.73,0.00,-3.24,268.555,-4.395,945.801,-18.45,-9.45,-25.95,17.82
1529,-0.18,1.05,-6.42,89.844,-7.812,959.961,-20.85,-8.85,-29.85,18.06
1539,-0.86,-0.35,-3.73,248.535,-16.113,1081.055,-23.25,-8.55,-31.50,17.97
1549,-1.66,2.23,-4.68,131.348,97.168,1036.133,-23.55,-10.50,-30.30,18.16
1559,0.07,2.65,-5.94,256.836,-108.398,914.551,-23.55,-10.50,-30.30,17.97
1569,1.06,1.47,-4.33,46.387,22.461,981.445,-17.55,-11.10,-26.40,18.06
1581,-1.45,1.34,-4.00,196.777,-178.223,1057.129,-18.60,-8.55,-26.55,18.01
1591,-0.80,0.42,-8.41,89.844,-74.219,1243.652,-21.60,-8.85,-30.30,18.21
1601,0.10,1.71,-4.92,119.629,105.957,1009.277,-22.35,-8.55,-33.00,17.77
1611,-0.24,0.42,-9.23,222.656,-105.957,1050.781,-22.35,-8.55,-33.00,17.97
1621,-0.09,-0.56,-6.40,244.141,-37.598,1060.059,-19.35,-11.70,-26.55,18.01
1631,2.63,1.46,-7.63,182.129,-148.926,1004.883,-15.90,-9.30,-25.80,18.16
1641,2.44,-3.24,-10.44,113.770,-57.617,985.352,-15.90,-9.30,-25.80,18.06
1653,-0.35,-3.11,-10.56,223.145,-90.332,933.594,-23.55,-10.05,-29.10,17.97
1663,0.45,-5.68,-8.98,171.387,1.465,1102.051,-23.55,-10.05,-29.10,18.16
1673,0.85,-2.24,-10.26,286.621,5.371,1244.141,-17.85,-10.05,-26.10,18.01
1683,0.76,-1.18,-9.89,8.301,-42.969,1028.809,-17.85,-10.05,-25.80,17.82
1693,1.04,-4.71,-10.31,104.492,-42.480,951.172,-17.85,-10.05,-25.80,18.16
1703,-4.22,-3.49,-9.89,167.480,35.156,938.965,-23.70,-10.65,-29.40,17.87
1713,-0.02,-2.22,-9.37,149.902,-45.410,1199.219,-23.70,-10.65,-29.40,17.87
1725,-3.56,-0.17,-12.79,253.906,-12.207,1049.805,-16.65,-10.95,-25.80,18.06
1735,-0.69,-0.75,-9.87,129.395,75.195,898.926,-16.65,-10.95,-25.80,18.21
1745,0.29,-2.98,-14.11,172.852,108.887,780.273,-22.35,-8.55,-31.80,18.16
1755,6.63,-3.76,-9.71,294.922,13.184,751.465,-23.70,-10.65,-29.40,18.06
1765,7.21,-3.62,-4.38,274.902,-90.820,1074.219,-23.70,-10.65,-29.40,17.97
1775,0.22,1.64,-8.73,117.676,-118.652,882.812,-18.00,-9.90,-25.65,18.21
1787,2.06,-0.86,-7.49,8.301,-156.250,1014.160,-20.55,-8.55,-26.55,18.06
1797,0.92,-0.37,-6.08,212.402,-264.648,905.273,-22.65,-11.10,-31.20,18.40
1807,-6.73,1.90,-6.85,182.617,-197.266,686.035,-23.70,-11.55,-27.90,18.30
1817,-5.54,1.43,-9.12,97.656,-172.852,1175.781,-23.70,-11.55,-27.90,18.06
1827,-7.67,0.50,-10.71,209.961,111.816,1098.145,-17.40,-10.05,-26.10,18.06
1837,-7.38,4.49,-9.60,139.648,42.480,740.234,-21.60,-11.25,-30.75,18.21
1847,0.36,2.89,-7.98,110.352,-62.012,938.477,-23.25,-12.90,-31.05,18.21
1859,0.47,3.55,-9.84,275.391,-28.809,1139.160,-19.50,-13.05,-25.95,18.01
1881,0.92,0.66,-13.40,307.129,-223.145,1238.770,-20.10,-11.25,-28.80,18.21
1890,-4.20,-2.26,-14.13,224.121,-150.391,1027.344,-22.80,-9.75,-31.05,17.97
1900,-2.64,-1.14,-15.19,209.961,-251.953,1367.676,-22.80,-9.75,-31.05,18.21
1910,-1.93,-3.01,-12.14,233.398,-66.895,943.848,-18.45,-12.30,-25.20,18.35
1920,-2.93,-3.37,-15.96,356.934,-60.059,1081.543,-19.35,-10.95,-27.60,18.21
1930,-2.25,-2.12,-16.24,355.469,-34.668,720.215,-22.65,-9.45,-31.20,18.06
1942,-2.63,-4.64,-16.97,264.160,71.777,1111.816,-22.35,-12.90,-29.55,18.21
1952,3.14,-5.12,-15.18,184.082,-78.125,1105.469,-22.35,-12.90,-29.55,17.97
1962,3.54,0.55,-18.53,73.730,-171.387,1569.824,-18.60,-9.30,-28.80,18.01
1972,3.13,-0.53,-17.46,111.328,83.984,689.453,-24.15,-10.35,-31.20,18.35
1982,-1.38,-0.73,-18.42,-63.477,-71.289,1191.406,-23.70,-11.55,-30.15,18.16
1992,-2.07,2.84,-12.73,232.910,1.953,538.574,-19.20,-12.30,-26.70,18.06
2004,-0.56,-1.29,-15.48,52.734,-227.539,794.434,-22.80,-10.05,-26.70,18.21
2014,-0.40,-0.14,-15.43,176.758,-134.766,519.043,-21.60,-9.30,-28.80,18.16
2024,-0.21,-1.63,-14.12,104.980,-30.762,1179.688,-21.60,-9.30,-28.80,18.16
2034,3.49,-2.10,-12.98,138.672,119.629,943.359,-20.10,-8.10,-28.80,17.87
2044,-1.81,-3.47,-16.91,150.879,32.715,1100.098,-23.25,-9.75,-31.80,18.16
2054,-3.08,-0.66,-17.14,218.262,168.457,1042.480,-23.25,-9.75,-31.80,18.30
2064,-0.71,-0.15,-14.44,198.730,-133.301,858.398,-15.90,-8.55,-25.80,18.21
2076,-2.03,3.98,-18.14,46.875,-110.840,873.047,-15.90,-8.55,-25.80,18.21
2086,-1.18,-0.40,-20.58,-7.324,50.781,1084.961,-24.00,-11.25,-31.50,18.21
2096,2.06,4.45,-13.64,80.078,-83.984,1033.203,-18.45,-12.75,-25.95,18.16
2106,1.20,-0.70,-19.69,30.273,-199.219,710.937,-17.85,-8.10,-26.85,18.01
2116,-4.02,3.39,-15.27,131.836,-188.477,1671.875,-22.05,-8.85,-31.80,17.77
2126,-3.12,0.85,-19.70,249.023,56.152,867.676,-22.05,-8.85,-31.80,18.16
2136,-1.82,0.46,-18.07,442.871,-160.156,1105.957,-16.80,-9.45,-25.95,18.01
2149,0.80,1.31,-17.57,364.258,-73.730,708.008,-19.35,-7.65,-29.55,18.16
2159,1.85,-6.15,-14.19,135.254,-59.570,1023.926,-19.35,-7.65,-29.55,18.06
2169,3.82,-1.37,-19.43,70.801,20.508,1574.219,-18.15,-11.25,-26.10,18.21
2179,4.27,-1.90,-18.76,154.297,210.449,933.105,-16.65,-8.10,-26.85,18.30
2189,-0.37,-2.11,-17.46,493.164,-278.809,1075.195,-22.65,-6.75,-32.40,18.30
2199,3.33,-1.36,-17.71,233.887,-232.422,578.125,-20.10,-9.30,-27.30,17.87
2209,0.08,-3.57,-20.49,-77.148,20.996,1549.316,-20.10,-9.30,-27.30,18.21
2221,1.76,3.41,-12.73,188.477,-256.348,1089.844,-20.55,-6.45,-30.30,18.16
2231,-2.36,7.15,-15.64,-117.188,15.625,964.355,-20.85,-8.85,-30.75,17.87
2241,-7.10,9.91,-20.96,41.504,20.996,903.320,-17.55,-7.95,-25.20,18.21
2251,1.00,6.96,-18.01,331.055,56.152,687.012,-18.00,-7.05,-29.40,18.40
2260,-3.42,-4.11,-17.66,373.535,-537.598,894.043,-18.00,-7.05,-29.40,18.30
2270,1.63,-5.22,-19.47,377.930,-496.094,812.500,-18.60,-9.30,-26.10,18.30
2280,-4.09,-9.59,-22.40,402.832,35.156,787.598,-20.25,-5.10,-28.20,17.87
2292,6.26,-11.16,-21.33,166.504,-303.711,926.758,-20.25,-5.10,-28.20,18.21
2302,5.44,-17.73,-35.89,127.930,-228.516,909.668,-15.15,-7.35,-25.35,17.82
2312,2.44,-12.85,-21.17,320.801,-235.840,1407.715,-18.45,-5.55,-30.15,18.30
2322,-2.53,-6.15,-17.69,301.270,-203.125,1230.469,-21.90,-8.25,-29.40,18.30
2332,-4.91,-1.15,-20.75,120.605,-143.555,1092.773,-17.55,-8.70,-25.65,18.49
2342,-4.11,3.50,-16.18,-24.902,-56.152,1486.816,-17.55,-8.70,-25.65,18.21
2354,-2.58,9.37,-14.22,149.414,57.617,1175.293,-22.20,-6.75,-30.90,18.40
2364,-4.56,8.39,-13.72,201.172,-188.477,1026.855,-17.25,-8.25,-25.20,18.21
2374,-1.24,10.60,-17.97,-14.648,-73.730,1628.906,-17.85,-4.95,-28.05,18.30
2384,-1.05,7.27,-16.14,458.984,-23.437,1263.672,-22.05,-8.55,-29.85,18.01
2400,-0.98,8.76,-16.29,187.988,-189.941,1510.254,-18.00,-4.35,-27.45,18.16
2409,1.70,2.03,-21.50,186.035,-49.805,658.203,-22.05,-7.65,-29.55,18.06
2421,-2.10,-0.31,-20.66,67.383,-188.965,985.352,-22.05,-7.65,-29.55,18.21
2431,-0.90,-5.25,-21.76,316.895,-160.645,656.250,-19.95,-5.55,-29.40,18.30
