Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1391,0.07,2.00,-2.27,35.645,-11.719,1003.906,-16.50,-11.85,-33.90,17.87
1427,1.86,-2.71,-2.15,-23.926,-34.180,865.234,-18.00,-11.85,-35.40,17.49
1436,-0.44,-0.49,-1.85,112.793,-15.137,1090.820,-19.20,-10.65,-37.35,17.49
1446,-0.47,1.34,-0.52,224.609,59.570,906.250,-19.35,-10.95,-36.00,17.63
1456,0.99,-1.23,-3.79,-87.891,-25.391,1000.488,-21.60,-11.25,-36.30,17.53
1466,0.19,-0.37,1.01,142.578,28.320,1132.324,-22.20,-13.05,-35.70,17.77
1476,0.08,-1.66,-2.92,284.180,16.113,840.820,-22.20,-13.05,-35.70,17.34
1486,0.66,1.06,-5.40,-65.918,35.156,1166.504,-19.35,-11.70,-34.50,17.49
1499,-3.71,-0.91,-2.60,298.340,23.926,888.672,-18.75,-10.65,-33.15,17.77
1509,0.82,-0.62,-1.40,-10.254,89.844,1118.164,-18.75,-10.65,-33.15,17.25
1519,-1.50,-0.97,-4.27,139.160,-49.316,873.535,-16.80,-12.30,-33.15,17.49
1529,-0.40,2.87,2.44,187.988,24.414,918.945,-16.50,-12.30,-31.65,17.49
1538,1.24,-1.34,-2.87,-40.527,62.500,1177.734,-17.10,-11.25,-33.75,17.53
1548,-0.11,-1.11,-0.15,196.777,-119.629,974.609,-15.90,-10.95,-33.30,17.49
1558,0.56,-2.11,-1.94,-32.715,55.664,1321.289,-15.90,-10.95,-33.30,17.49
1570,-3.02,-2.44,-2.42,234.863,-12.207,671.875,-19.50,-11.55,-35.70,17.53
1580,-0.41,2.33,-1.57,6.836,104.004,1252.441,-20.70,-10.35,-37.35,17.49
1590,-1.34,1.48,-1.85,108.887,20.020,1005.859,-20.10,-10.50,-37.50,17.68
1600,1.56,3.13,-1.66,159.180,25.879,880.371,-21.45,-10.35,-37.65,17.68
1609,-0.14,-0.11,0.06,82.031,146.484,1242.188,-20.25,-11.85,-36.60,17.44
1619,0.77,2.34,-3.81,234.863,25.391,719.238,-20.25,-11.55,-35.70,17.53
1628,0.50,-0.72,-2.93,74.707,-3.906,1245.117,-17.10,-12.90,-34.50,17.77
1640,2.31,-1.56,-1.92,187.988,-45.410,586.914,-17.10,-12.90,-34.50,17.44
1650,-1.95,1.09,-2.02,145.020,-53.711,1324.219,-16.80,-12.75,-33.15,17.49
1660,-0.92,0.94,-3.66,192.383,-48.828,594.238,-16.05,-11.55,-33.15,17.63
1670,-3.50,-1.40,-3.91,98.633,105.469,1366.699,-16.80,-10.65,-33.15,17.82
1680,-2.48,1.21,-3.16,125.977,44.922,756.836,-17.25,-11.10,-33.90,17.77
1690,-0.22,1.94,-3.28,76.660,119.629,1436.523,-17.25,-11.10,-33.90,17.82
1700,2.32,1.05,-1.55,138.672,23.926,733.887,-18.75,-10.65,-35.70,17.49
1712,-2.54,-2.28,-3.31,177.734,-2.930,1328.125,-20.10,-10.50,-36.75,17.25
1722,0.73,1.65,-3.76,84.473,52.734,918.457,-20.10,-10.50,-36.75,17.29
1731,-0.77,-1.28,-2.15,197.754,-85.938,1130.371,-19.50,-12.75,-36.15,17.63
1741,1.34,-0.82,-1.07,89.844,99.609,899.414,-18.45,-11.85,-34.65,17.82
1751,-3.90,-0.11,-2.07,89.355,39.063,1048.828,-16.80,-13.05,-33.90,17.53
1761,1.37,1.42,-3.18,142.090,30.273,1199.707,-15.75,-12.30,-33.45,17.44
1770,-0.21,-0.83,-1.91,39.551,85.449,1000.000,-15.75,-12.30,-33.45,17.77
1782,-0.93,-2.54,-3.97,91.309,-52.246,1115.723,-14.70,-11.70,-33.75,17.53
1792,-0.81,-0.16,-4.79,29.785,16.602,1117.676,-16.65,-11.25,-35.55,17.53
1802,-1.78,-1.25,-4.33,149.414,61.523,897.949,-18.90,-11.25,-37.50,17.97
1812,-1.19,1.45,-5.23,34.180,112.305,1259.766,-20.25,-9.15,-38.40,17.77
1822,0.85,-1.63,-2.98,136.719,184.082,889.648,-20.25,-9.15,-38.40,17.68
1832,2.05,-0.01,-2.85,40.039,-42.969,1066.406,-19.65,-12.90,-37.50,17.49
1844,1.70,-2.88,-4.19,169.922,18.066,1091.797,-16.80,-11.55,-33.90,17.49
1854,1.08,-1.90,-5.91,155.273,132.812,1039.063,-14.10,-11.85,-31.95,17.49
1864,-1.53,-0.50,-3.60,-14.648,-26.855,1036.133,-14.40,-10.05,-32.55,17.49
1874,1.44,0.93,-3.30,160.156,58.105,1052.246,-16.05,-11.10,-34.20,17.63
1884,0.37,0.31,-3.74,49.805,58.105,1011.230,-16.05,-11.10,-36.15,17.77
1893,0.15,2.15,-7.08,69.336,22.461,1184.570,-16.05,-11.10,-36.15,17.77
1903,1.44,-0.61,-5.18,130.371,-8.301,918.945,-16.05,-11.10,-36.15,17.77
1915,-1.02,-0.14,-3.89,183.594,-28.809,949.707,-18.15,-12.45,-35.25,17.82
1937,0.98,-0.83,-4.75,80.566,82.520,1089.355,-14.85,-14.25,-31.65,17.63
1946,0.36,-0.56,-2.87,179.687,-65.918,839.355,-13.35,-10.35,-31.20,17.53
1956,-2.11,-0.74,-2.66,235.840,50.781,1023.926,-14.10,-11.10,-33.15,17.82
1966,1.46,0.79,-2.97,71.289,76.660,877.930,-15.45,-11.70,-35.55,17.87
1976,0.92,-0.79,-3.04,112.305,-76.660,1064.941,-15.45,-11.70,-35.55,17.97
1986,-0.31,-2.84,-3.79,204.590,18.066,971.191,-19.35,-11.70,-36.30,17.97
1998,1.97,1.93,-7.82,106.934,20.020,966.797,-18.45,-12.75,-34.65,17.68
2008,1.08,-2.49,-3.16,159.180,71.777,978.027,-16.05,-13.80,-32.70,17.97
2018,0.13,-0.75,-5.96,90.820,-109.863,984.863,-14.40,-12.45,-33.00,17.49
2028,0.24,0.02,-3.13,186.523,2.441,1100.098,-14.40,-12.45,-33.00,17.82
2037,0.34,-0.69,-6.20,68.359,98.145,1155.762,-15.90,-10.50,-34.50,17.87
2047,0.24,-2.40,-6.17,112.793,4.395,1093.262,-18.60,-10.95,-36.30,17.87
2057,-0.89,-0.15,-5.32,149.902,-37.598,1037.598,-19.50,-11.10,-36.60,17.68
2069,0.09,-0.08,-6.34,103.027,115.723,1084.473,-19.65,-12.45,-36.00,17.87
2079,0.93,-1.40,-6.01,133.301,93.262,1145.020,-16.20,-12.15,-33.00,17.82
2089,-0.52,-3.23,-6.75,168.457,-21.973,1020.020,-15.15,-12.45,-31.80,17.53
2099,-2.49,0.11,-2.23,146.484,70.313,1250.000,-13.80,-11.55,-32.40,17.63
2109,1.45,0.29,-6.15,3.906,57.617,975.586,-13.80,-11.55,-32.40,17.82
2119,0.13,-1.20,-6.78,169.922,-85.449,931.152,-18.15,-10.95,-36.30,17.82
2129,-0.68,-0.11,-5.64,223.633,-75.195,876.465,-18.75,-12.30,-35.70,17.68
2141,-0.08,-2.31,-7.94,111.328,-85.938,789.551,-18.00,-12.30,-34.95,17.87
2151,0.88,-2.15,-5.05,187.988,-9.277,1000.000,-16.05,-13.80,-30.90,17.87
2161,1.80,0.99,-3.79,245.605,-56.641,906.250,-16.05,-13.80,-30.90,17.77
2171,0.91,1.32,-4.34,100.586,-95.703,1047.363,-13.05,-10.65,-31.20,17.34
2181,0.00,-2.89,-5.03,160.645,88.379,1244.629,-16.20,-11.70,-34.80,17.82
2191,-2.22,-2.69,-6.49,113.281,25.391,1132.324,-16.20,-11.70,-34.80,17.77
2201,-0.28,2.44,-10.48,62.988,81.543,1142.090,-18.60,-12.45,-35.55,17.77
2213,-2.40,-1.38,-5.41,108.887,192.383,1213.867,-15.45,-11.70,-32.25,17.77
2223,1.18,-3.10,-5.71,282.715,74.707,1083.008,-13.95,-12.15,-29.85,17.87
2233,3.89,-3.01,-7.31,184.570,102.051,1102.051,-14.40,-10.50,-31.05,17.82
2243,6.51,-2.38,-4.70,267.090,-1.465,1101.074,-14.40,-10.50,-31.05,17.68
2253,4.93,0.82,-3.79,232.422,33.203,1066.895,-18.90,-10.05,-34.80,17.44
2263,4.39,-3.50,-10.66,179.199,106.445,863.281,-17.85,-12.45,-34.50,17.68
2275,0.75,-1.63,-6.88,194.824,93.750,955.566,-12.60,-12.30,-29.40,17.53
2285,-2.95,-2.18,-4.07,364.746,-33.691,834.961,-12.60,-12.30,-29.40,17.82
2295,-3.60,2.38,-6.08,201.660,127.930,635.742,-17.55,-11.55,-33.90,17.87
2305,-0.38,-0.53,-3.62,66.406,0.000,794.434,-18.15,-10.50,-33.75,17.82
2315,-2.89,1.44,-1.39,291.504,-26.367,894.043,-18.15,-10.50,-33.75,17.63
2325,-2.06,3.89,-4.28,89.355,-5.859,771.973,-15.15,-11.70,-28.35,17.77
2335,-5.55,4.21,-8.58,213.379,-215.820,679.687,-13.05,-11.55,-27.90,17.49
2347,-2.06,5.21,-3.40,172.363,-237.305,1023.926,-15.90,-10.95,-31.05,17.68
2357,-7.50,4.40,-10.32,105.957,-276.855,987.793,-18.60,-12.15,-33.00,17.49
2367,-2.59,4.36,-8.27,60.059,-159.668,1101.563,-18.60,-12.15,-33.00,17.87
2377,-1.80,1.92,-12.02,205.566,-120.117,1477.539,-15.30,-12.75,-29.70,17.87
2387,-0.32,0.31,-12.64,177.246,-251.953,1166.992,-13.20,-11.25,-28.80,17.53
2397,3.55,-0.93,-16.73,178.711,-246.094,1085.938,-14.55,-10.65,-29.40,17.77
2407,0.82,-3.51,-17.38,119.629,-258.301,985.840,-17.85,-11.70,-32.55,17.82
2419,-2.12,-2.11,-17.64,193.848,-201.172,1259.766,-17.85,-11.70,-32.55,17.82
2429,-2.55,-2.08,-19.66,147.949,-295.898,1178.711,-15.75,-12.75,-29.70,17.82
2439,-5.32,-4.11,-18.88,208.008,-223.145,1000.000,-13.95,-12.15,-28.05,17.53
2455,-2.63,-0.55,-16.86,101.074,-20.020,1039.063,-13.95,-12.15,-28.05,17.97
2464,2.97,-3.09,-14.74,174.805,53.223,1102.539,-19.95,-10.35,-32.70,18.06
2474,0.83,-2.23,-15.76,79.102,79.590,1050.293,-20.25,-12.75,-33.45,17.82
2484,1.74,-1.62,-14.60,79.590,130.859,1303.223,-16.65,-13.20,-28.80,17.87
2496,0.27,-2.72,-14.09,188.965,51.270,968.750,-14.85,-11.85,-28.95,17.97
2506,-1.96,-1.93,-15.35,215.820,62.500,926.758,-20.25,-11.10,-33.90,17.87
2516,0.97,0.45,-13.82,98.145,77.637,1327.637,-19.50,-12.75,-30.90,17.53
2526,1.75,-1.92,-13.81,211.914,-98.633,841.797,-17.10,-12.90,-29.10,17.82
2536,0.08,-1.05,-21.21,20.020,10.742,840.332,-14.70,-10.50,-30.75,18.01
2546,-1.19,0.80,-17.14,193.848,-56.152,1083.984,-14.70,-10.50,-30.75,17.97
2556,-0.53,0.24,-14.54,239.746,-281.250,788.086,-20.10,-12.15,-33.00,17.87
2568,-3.24,-0.98,-14.11,110.352,-25.391,829.102,-17.55,-12.75,-30.90,17.77
2578,-2.64,0.71,-9.76,277.832,-131.836,945.312,-17.55,-12.75,-30.90,17.87
2588,-2.88,-0.60,-16.66,109.375,-128.906,1018.555,-15.30,-9.45,-32.40,17.77
2598,-1.50,-3.02,-13.60,207.520,-112.793,845.703,-18.75,-9.45,-35.70,17.53
2608,-1.84,-0.15,-17.25,252.930,-177.734,684.570,-19.20,-12.30,-32.40,17.77
2618,-0.66,-0.60,-17.47,293.457,5.371,1233.398,-13.80,-12.30,-29.40,17.68
2628,-0.46,1.92,-16.88,13.184,-61.035,1035.645,-13.80,-12.30,-29.40,17.87
2640,-2.14,1.96,-18.02,-9.766,-139.160,797.363,-18.90,-11.25,-33.00,17.82
2650,-1.16,0.47,-15.06,296.875,-148.437,898.926,-19.20,-12.30,-34.20,17.87
2660,-1.97,-2.63,-18.64,266.113,123.047,1191.895,-14.55,-11.85,-30.90,17.82
2670,1.15,-1.62,-18.47,308.105,-112.305,1037.109,-13.95,-9.75,-31.50,17.82
2680,1.60,-2.31,-19.40,96.680,-30.762,1039.063,-18.00,-9.45,-35.40,17.53
2690,3.73,-2.84,-16.95,280.762,-152.344,1233.887,-18.75,-12.75,-34.95,17.77
2702,3.97,-3.71,-15.89,149.902,-148.437,1088.379,-14.55,-13.50,-29.70,17.63
2712,-0.18,-1.04,-19.29,166.992,-152.344,843.750,-14.55,-13.50,-29.70,17.82
2722,1.47,-0.10,-15.37,256.348,-92.285,1229.980,-18.00,-9.90,-34.95,17.77
2732,-1.45,1.76,-19.60,50.781,-71.777,856.934,-19.65,-10.95,-35.25,18.01
2742,-1.32,-0.01,-19.63,198.730,-172.852,908.203,-14.85,-12.75,-31.20,17.87
2752,-1.94,0.98,-17.40,-98.633,-237.305,694.336,-11.85,-9.15,-30.90,17.87
2762,-4.03,-0.08,-16.44,-9.766,-81.055,876.953,-11.85,-9.15,-30.90,17.34
2774,6.09,4.30,-16.89,257.324,-250.000,893.555,-18.60,-11.25,-34.50,17.82
2784,7.72,2.49,-21.94,161.133,-33.203,514.160,-13.35,-11.85,-30.90,17.77
2794,5.20,0.79,-14.45,253.418,-304.687,1057.129,-13.35,-11.85,-30.90,17.77
2804,-0.70,0.86,-17.61,223.633,-236.328,610.840,-17.85,-8.85,-36.75,17.87
2814,-3.64,5.37,-19.68,349.121,-126.465,1528.320,-18.00,-9.90,-34.20,17.77
2824,-10.96,-1.01,-16.34,248.047,-412.109,475.098,-12.75,-11.25,-29.85,17.87
2834,-11.35,-4.36,-18.86,348.633,-114.746,1124.023,-14.55,-8.25,-33.90,17.87
2846,-10.19,-3.63,-17.48,85.449,200.195,1002.441,-15.45,-11.25,-31.50,17.97
2856,-7.05,-9.90,-19.82,355.957,187.500,799.316,-13.35,-9.15,-29.40,17.87
2866,0.06,-11.27,-20.08,346.191,145.020,532.227,-18.00,-8.70,-33.90,17.87
2876,5.07,-11.64,-19.73,173.340,-207.031,637.207,-16.20,-10.50,-32.25,17.97
2886,9.88,-10.24,-17.97,-16.113,-328.613,998.535,-16.20,-10.50,-32.25,17.87
2896,-3.73,-7.62,-18.26,159.668,-61.523,950.684,-15.45,-8.10,-34.05,17.82
2906,-1.68,-4.64,-15.83,229.004,-420.410,1333.496,-16.65,-9.30,-35.25,17.87
2918,-5.34,3.07,-14.87,42.480,-14.648,1496.582,-16.65,-9.30,-35.25,17.87
2928,-5.61,3.01,-18.36,190.918,480.957,667.969,-14.10,-7.50,-33.45,17.77
2938,-4.08,6.76,-14.80,250.488,-7.324,1243.164,-17.55,-7.50,-34.95,17.77
2948,0.89,4.56,-15.66,82.520,149.414,1395.996,-14.70,-10.95,-30.75,17.44
2957,0.60,7.92,-14.74,176.270,-27.832,1587.891,-12.45,-5.70,-29.85,17.82
2974,4.34,1.93,-21.53,382.812,-283.691,888.672,-12.45,-5.70,-29.85,18.06
2983,1.76,3.60,-22.20,381.348,-244.141,649.414,-17.25,-8.70,-32.40,17.68
