Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1313,-2.68,1.79,-1.70,15.137,33.691,1000.977,-23.55,-12.45,-33.30,16.38
1329,-0.92,1.64,-1.34,15.625,48.828,1019.531,-23.55,-12.45,-33.30,16.38
1339,0.49,0.25,0.35,49.316,19.043,1054.688,-22.80,-13.20,-31.80,16.48
1349,-0.21,2.19,-0.31,68.359,39.063,925.781,-23.25,-11.25,-31.05,16.62
1359,0.31,2.34,0.22,44.922,18.066,1058.594,-21.45,-13.50,-32.70,16.58
1368,-0.44,-1.05,-2.74,122.559,18.066,958.496,-22.20,-13.05,-33.15,16.62
1378,0.03,-1.20,-1.39,78.125,37.598,1022.949,-22.20,-13.05,-33.15,16.72
1388,0.09,-3.21,-1.07,6.348,62.012,1001.953,-22.20,-13.80,-31.20,16.38
1400,-1.15,-0.05,-0.37,81.055,1.465,1013.184,-22.35,-12.15,-32.55,16.58
1410,2.50,-3.63,-2.78,5.859,36.621,1038.574,-23.55,-13.20,-31.50,16.38
1420,0.89,-1.42,-0.94,4.395,27.832,1000.488,-22.20,-12.30,-32.40,16.72
1430,0.51,-1.72,1.08,5.371,60.059,1001.465,-22.35,-12.15,-32.25,16.72
1439,-1.59,0.64,0.98,59.570,44.434,1048.340,-22.20,-11.55,-30.90,16.58
1449,-0.24,-0.63,-0.80,89.355,-3.418,979.980,-20.55,-12.90,-31.50,16.38
1459,-2.05,0.28,-2.77,73.730,32.715,1071.777,-20.55,-12.90,-31.50,16.38
1471,-0.37,0.20,-1.82,128.418,42.969,972.168,-20.55,-10.95,-30.30,16.43
1481,1.02,-1.81,1.42,50.781,34.668,1079.102,-20.70,-12.75,-29.40,16.48
1491,0.01,0.79,0.14,61.035,36.133,1000.488,-21.45,-12.30,-30.15,16.82
1500,-0.26,-0.65,-0.46,21.484,28.809,1001.953,-19.95,-11.10,-29.70,16.82
1510,-0.80,-0.96,0.40,-32.227,23.437,1044.922,-19.95,-11.10,-29.70,16.72
1520,0.57,2.90,-0.03,99.609,16.113,1027.832,-20.70,-13.05,-29.70,16.48
1529,-0.81,0.79,-1.92,85.938,42.969,986.328,-19.20,-13.80,-29.70,16.58
1541,-0.89,-0.15,-1.18,97.168,35.156,1063.965,-19.20,-13.80,-29.70,16.77
