Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1359,-0.89,0.06,-0.94,62.012,22.949,990.234,-23.55,-12.15,-33.30,16.24
1396,-1.26,-0.85,1.70,82.520,0.977,1035.156,-23.40,-10.35,-31.95,16.62
1406,0.01,-2.82,-1.35,95.215,6.836,1004.395,-23.40,-10.35,-31.95,16.29
1416,-2.08,-0.02,0.27,63.965,39.551,1015.625,-23.55,-10.95,-33.00,16.38
1426,-0.28,-0.37,-2.62,-4.395,32.227,1019.043,-23.55,-11.25,-31.50,16.05
1436,-1.27,-1.27,-1.24,89.844,8.301,1033.203,-23.55,-10.50,-33.30,16.24
1446,-1.18,-2.47,1.19,115.723,49.316,999.023,-23.70,-11.55,-33.45,16.43
1456,1.63,-1.33,1.81,107.422,39.551,1086.426,-23.70,-11.55,-33.45,16.24
1469,-1.47,0.15,-1.00,74.219,27.832,991.699,-24.15,-11.55,-31.65,16.29
1479,-0.73,0.37,-0.14,38.086,27.832,1017.090,-23.55,-12.15,-31.05,16.38
1489,0.22,-0.46,0.31,90.820,8.301,1048.828,-23.55,-12.15,-31.05,16.38
1499,-1.26,0.54,0.83,155.762,4.883,1023.437,-21.60,-11.25,-30.30,16.19
1508,-0.93,0.97,-0.31,108.398,38.086,994.141,-20.25,-9.90,-30.15,16.24
1518,0.29,-0.37,2.98,6.836,22.949,1073.730,-22.35,-10.50,-29.85,16.24
1527,-1.14,0.47,-1.46,83.496,20.508,1016.602,-21.90,-11.85,-28.65,16.48
1539,-2.54,-3.22,-2.11,131.836,27.344,1056.152,-21.90,-11.85,-28.65,16.38
1549,-1.28,-0.47,0.69,115.723,56.641,999.512,-20.25,-11.55,-29.70,16.38
1559,1.05,-1.73,0.37,52.734,18.555,1128.418,-19.65,-12.45,-28.80,16.48
1569,-0.40,0.43,-1.31,121.582,13.184,1035.645,-19.20,-11.55,-29.40,16.38
1579,-0.15,-1.92,1.08,171.387,31.738,991.699,-20.25,-10.35,-29.70,16.19
1589,-0.63,0.11,-3.45,51.270,38.574,914.062,-20.10,-10.05,-30.75,16.10
1599,-0.18,-0.09,1.48,82.031,49.316,1083.496,-20.25,-11.10,-31.65,16.43
1611,-1.78,-0.15,-3.50,178.223,57.617,970.703,-22.20,-11.85,-31.65,16.24
1621,0.66,-1.02,-0.95,109.375,9.766,1009.277,-22.20,-11.85,-31.65,16.48
1631,0.92,1.79,-2.34,-4.395,52.734,1109.863,-22.35,-10.50,-32.55,16.58
1641,-0.22,-1.72,-2.25,166.504,20.020,981.934,-23.70,-11.85,-34.20,16.48
1651,0.36,-0.28,-4.07,173.340,18.555,1006.836,-22.80,-9.30,-33.75,16.38
1661,-2.80,-1.17,-4.20,-1.465,27.344,1045.898,-25.80,-12.15,-33.30,16.24
1671,1.25,-1.66,-1.38,149.414,28.320,1124.023,-25.05,-12.45,-33.00,16.48
