Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1317,0.31,-0.39,0.81,16.602,28.809,1067.383,-22.05,-12.15,-32.25,16.24
1333,-0.02,1.63,0.73,95.215,30.273,1021.484,-23.55,-11.70,-33.00,16.24
1343,-1.91,-1.84,-1.15,47.363,41.504,986.816,-23.40,-12.30,-32.40,16.24
1353,0.02,-2.12,0.37,68.359,27.344,1020.996,-22.05,-11.70,-32.25,16.29
1363,-1.44,1.63,-2.32,42.480,52.734,1016.602,-20.85,-12.45,-32.55,16.10
1373,1.92,-0.48,0.35,46.875,29.297,984.375,-20.85,-12.45,-32.55,16.19
1383,-0.17,-1.08,-2.53,16.113,13.184,1006.348,-22.05,-11.25,-31.80,16.24
1393,1.04,-1.68,0.92,-5.371,35.156,1000.000,-21.60,-10.05,-33.75,16.05
1405,0.71,0.86,-1.44,-1.465,42.969,1042.480,-21.60,-10.05,-33.75,16.10
1415,0.30,1.47,-0.36,55.664,40.527,1034.180,-21.45,-11.85,-30.90,15.86
1425,-0.58,-0.16,-1.82,45.410,65.430,1010.742,-20.25,-10.65,-30.90,16.24
1435,-0.46,1.16,-2.96,91.309,5.371,1058.105,-19.20,-10.65,-29.70,16.19
1445,0.01,-0.21,0.58,110.352,29.785,948.242,-20.70,-10.65,-30.15,16.29
1455,1.83,-0.91,-1.66,47.852,58.105,1017.090,-20.70,-10.65,-30.15,16.10
1465,2.27,-1.44,-0.79,39.551,19.531,1007.812,-20.55,-10.50,-31.05,16.10
1477,-0.64,0.31,-0.97,-8.301,33.691,1000.488,-19.35,-11.25,-30.75,16.19
1487,1.47,0.15,-2.08,-15.625,34.180,1012.207,-19.35,-11.25,-30.75,16.24
1497,0.08,1.31,1.79,67.383,35.645,1010.254,-21.45,-12.30,-30.15,16.19
1506,-0.68,1.31,0.48,60.547,66.895,1048.340,-19.20,-12.75,-29.40,16.38
1516,1.22,1.57,-1.63,82.031,49.316,1110.352,-20.25,-11.10,-29.70,16.29
1526,1.03,-0.48,1.55,132.324,20.508,1012.207,-19.20,-13.05,-30.45,16.29
1535,1.15,-2.39,0.20,62.012,28.809,1054.199,-19.20,-13.05,-30.45,15.86
