Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1312,-2.15,1.76,-0.25,-16.113,39.551,1008.789,-19.95,-15.00,-34.20,14.71
1346,-1.34,-0.92,-3.92,-6.348,45.898,1020.996,-17.25,-14.70,-33.90,14.66
1355,0.15,-2.69,-0.29,-10.254,30.762,1016.113,-17.25,-14.70,-33.90,14.61
1365,0.25,-0.24,-2.81,-18.555,38.086,1015.137,-18.75,-15.45,-33.90,15.04
1375,0.63,-2.92,-1.43,-6.836,45.410,1011.719,-19.95,-15.45,-33.45,14.99
1385,-1.12,-0.08,-2.07,3.906,40.039,1016.602,-19.35,-14.85,-34.05,14.99
1395,-0.71,-1.50,-0.29,-8.301,43.457,1011.719,-19.65,-14.10,-33.30,15.04
1405,-1.51,-0.69,-1.63,-15.625,38.086,1019.043,-19.35,-15.60,-33.00,15.04
1418,-0.09,1.02,-3.24,4.883,48.828,1018.066,-19.20,-15.00,-33.45,15.04
1428,-0.93,0.41,-1.53,5.371,41.992,1011.230,-20.10,-16.05,-33.75,15.04
1438,-0.69,-0.36,0.53,4.883,40.039,1020.508,-20.10,-16.05,-33.75,14.99
1448,-1.02,-4.66,1.35,-2.441,37.598,1020.020,-19.20,-15.00,-33.15,14.71
1458,1.18,-1.07,-0.14,-2.441,31.738,1015.625,-19.35,-15.60,-33.30,14.90
1468,1.41,-0.21,0.46,-6.348,32.227,1025.879,-19.35,-15.60,-33.30,14.85
1478,0.87,-0.24,-3.81,-2.930,38.086,1007.812,-20.10,-16.05,-33.75,14.90
1490,1.62,1.37,-1.36,-7.812,44.434,1032.715,-19.35,-15.30,-31.80,14.85
1500,0.27,-1.96,-0.34,-8.301,46.875,1004.395,-19.95,-16.20,-33.90,15.04
1510,-0.60,-0.50,-2.85,-8.789,37.598,1012.207,-19.35,-14.85,-33.75,14.71
1520,0.45,0.84,-0.21,-4.883,37.109,1029.785,-19.35,-14.85,-33.75,15.04
1530,-0.79,1.90,-2.50,1.465,47.852,1005.859,-19.65,-15.60,-34.05,14.80
1540,-0.34,-2.01,0.84,-12.695,37.598,1012.207,-19.50,-15.90,-33.15,14.90
1550,1.80,-0.94,-2.24,-44.922,49.316,1025.391,-19.50,-15.90,-33.15,14.85
1562,2.10,-2.57,0.14,20.996,-2.930,997.559,-19.50,-15.00,-32.70,15.04
1572,0.24,-1.45,-1.83,-49.316,47.852,1070.313,-19.50,-15.00,-32.70,14.90
1582,-0.87,-1.20,-1.67,-23.926,36.133,1032.715,-20.25,-15.00,-33.45,14.85
1592,-0.37,-0.98,0.63,-35.156,51.270,1003.418,-20.55,-17.25,-33.75,14.99
1602,0.43,-0.69,1.69,-16.113,31.250,1007.324,-20.55,-17.25,-33.75,14.90
1612,-0.87,0.65,-0.89,-21.973,51.758,1017.090,-19.65,-15.30,-34.05,14.61
1622,-0.44,-0.18,-0.85,-10.742,33.691,1004.395,-18.60,-16.50,-33.30,14.99
1634,-0.05,-1.11,1.00,-19.043,18.066,1007.324,-18.15,-15.60,-33.30,14.71
1644,0.31,-1.50,-1.52,14.160,45.898,995.117,-20.10,-16.50,-32.55,14.80
1654,0.79,-0.16,1.02,2.441,47.852,1000.488,-19.35,-16.05,-33.75,14.99
1664,-0.26,0.96,-1.06,6.348,50.781,991.699,-19.95,-16.20,-33.15,15.04
1674,-0.85,1.21,-0.26,37.598,41.992,1004.395,-18.75,-15.90,-33.15,15.04
1684,-0.66,0.78,1.17,18.066,58.594,1002.441,-18.75,-17.10,-32.70,14.66
1693,-0.54,-1.08,-0.50,83.496,13.184,1009.277,-19.65,-17.70,-32.25,15.14
1705,0.05,-1.24,-2.65,95.215,29.785,1016.113,-19.65,-17.70,-32.25,14.85
1715,0.03,-1.03,0.89,5.859,36.133,1027.344,-18.15,-16.50,-31.50,14.90
1725,0.07,1.80,-0.81,80.078,52.246,1023.437,-18.15,-16.80,-33.30,15.19
1735,0.69,-0.34,-0.06,47.363,43.945,998.535,-19.35,-16.50,-32.55,15.14
1745,0.76,-0.57,-0.26,40.039,43.945,985.840,-18.75,-15.00,-32.70,14.99
1755,-0.44,-0.73,-1.53,64.453,53.223,1002.930,-16.50,-16.65,-31.95,14.90
1765,-0.11,-0.81,-0.18,23.926,37.598,1022.949,-17.55,-15.00,-32.40,15.14
1777,-2.31,-0.28,-2.41,47.363,23.437,1009.277,-18.00,-16.20,-31.65,14.99
1787,0.95,-1.50,-1.24,27.832,13.672,1030.762,-18.00,-16.20,-31.65,14.80
1797,-1.23,3.36,-0.36,94.238,38.086,1068.848,-18.45,-15.00,-32.40,15.23
1807,0.60,-2.18,-1.46,17.578,21.484,1009.766,-19.20,-15.90,-34.20,14.99
1817,0.37,-2.30,-1.13,45.898,45.410,1035.156,-19.20,-15.90,-34.20,15.14
1827,-0.87,-1.91,0.06,95.703,38.086,1021.484,-18.00,-16.20,-33.45,15.04
1837,0.67,1.51,-2.95,75.195,37.598,1014.648,-18.15,-16.05,-32.55,14.85
1860,1.18,1.78,-2.14,43.945,44.434,1023.437,-18.00,-14.70,-33.45,15.14
1870,1.85,-3.21,0.51,50.293,23.926,967.773,-18.00,-14.70,-33.45,14.99
1880,1.67,1.92,-3.09,29.785,30.762,998.535,-18.15,-16.80,-33.30,14.90
1889,-0.07,2.56,-1.06,20.508,50.293,1005.859,-18.60,-15.30,-34.50,15.14
1899,-0.64,1.72,-3.90,21.973,13.184,1035.156,-18.60,-15.30,-34.50,15.04
1909,-0.02,1.58,-3.89,115.723,76.172,1030.762,-19.50,-16.65,-33.45,15.04
1920,0.55,-2.64,-2.90,54.199,34.180,1015.137,-20.25,-17.40,-34.95,14.99
1930,0.27,1.44,-0.51,137.695,43.457,1088.867,-19.95,-16.20,-34.20,14.85
1940,0.59,-2.10,-0.23,110.352,66.895,985.352,-20.70,-16.65,-33.90,15.14
1950,-1.49,-1.15,0.31,47.363,6.836,1019.531,-20.70,-16.65,-33.90,15.04
1960,-0.04,-0.35,-4.00,74.219,56.641,994.629,-20.55,-17.25,-34.05,15.19
1970,-0.71,-0.11,-0.69,20.020,48.340,1060.059,-19.65,-16.80,-34.50,15.33
1980,1.10,0.27,-0.16,-23.926,20.996,1017.090,-19.65,-16.80,-34.50,15.14
1991,0.95,-1.72,-3.43,98.633,47.363,1040.527,-19.95,-15.00,-34.65,14.80
2001,-0.82,0.77,-4.31,50.293,72.754,913.086,-21.45,-15.00,-33.90,14.85
2011,0.21,-0.98,-2.83,82.520,31.250,1084.961,-20.85,-16.05,-34.80,15.19
2021,-0.53,0.73,0.05,109.863,68.848,996.094,-21.30,-16.05,-35.25,15.04
2030,-0.42,-0.55,-0.13,56.152,-46.387,1011.230,-22.35,-16.05,-35.25,15.14
2040,-1.30,-0.16,-2.23,31.738,18.555,1086.426,-20.85,-14.85,-35.25,14.80
2050,0.32,-0.26,1.15,101.074,-13.184,999.512,-21.00,-17.40,-35.40,14.71
2062,-0.60,-1.40,-0.81,91.309,30.762,995.605,-21.00,-17.40,-35.40,14.90
2072,-0.43,-1.73,0.44,99.609,8.789,1048.340,-21.60,-16.50,-34.80,14.90
2082,-0.25,-2.73,-2.73,71.289,45.898,977.051,-21.30,-16.50,-34.50,15.14
2092,-0.03,-0.18,-0.35,27.832,14.648,1069.824,-21.30,-16.50,-34.50,15.04
2102,0.08,0.92,0.35,55.664,25.879,995.117,-20.25,-16.20,-33.90,15.33
2112,-0.27,-2.66,-1.87,100.586,37.109,1030.762,-19.50,-15.00,-32.70,15.14
2122,1.66,0.58,-1.55,121.094,32.715,982.422,-18.75,-16.65,-33.15,14.71
2134,0.52,-2.42,-1.25,48.828,72.266,1009.766,-18.75,-15.45,-33.45,15.33
2144,-0.34,-0.37,-2.39,37.598,34.668,1025.879,-18.75,-17.10,-31.65,14.85
2154,-0.18,0.20,-3.88,73.730,59.570,999.023,-19.35,-16.50,-32.25,15.14
2164,0.86,-0.02,-0.26,108.887,68.848,1014.160,-19.35,-16.50,-32.25,14.80
2174,0.32,0.21,-2.40,129.395,77.637,1005.371,-17.55,-16.20,-31.20,15.14
2184,1.39,1.10,-0.81,18.555,37.109,981.445,-17.85,-17.25,-31.80,15.19
2193,0.34,2.10,-3.16,40.527,47.363,1042.969,-17.85,-17.25,-31.80,14.90
2205,0.81,1.04,-2.94,137.695,34.180,1082.031,-17.10,-15.30,-32.55,15.23
2215,0.05,0.13,-1.96,113.770,54.688,992.187,-17.10,-15.30,-32.55,14.99
2225,1.02,-1.19,-2.41,15.137,48.828,1046.387,-18.15,-14.40,-33.30,15.23
2235,-0.13,0.95,-4.44,57.129,52.246,1040.527,-19.65,-16.50,-34.05,15.14
2245,-1.66,-0.96,-2.57,161.621,11.230,1057.129,-19.65,-16.50,-34.05,15.23
2255,0.08,-1.43,-0.72,117.676,51.758,945.312,-19.20,-16.65,-34.20,15.19
2265,1.31,3.08,-1.27,-4.883,20.020,1042.480,-20.85,-15.60,-34.50,15.04
2277,0.80,-0.18,-2.85,156.250,17.090,933.594,-20.70,-15.00,-34.65,15.23
2287,-1.34,-0.70,-0.22,190.430,-13.672,985.352,-21.60,-14.40,-34.80,15.14
2297,-0.79,-0.86,-5.61,-16.113,63.965,989.258,-21.60,-14.40,-34.80,14.90
2307,-0.13,0.19,-0.02,92.773,-37.598,1098.633,-22.35,-16.80,-34.50,15.38
2317,-0.18,-0.49,-3.05,240.234,-15.625,1070.801,-21.60,-18.45,-34.50,15.04
2327,-1.44,-2.92,-4.19,-44.434,57.129,1009.277,-21.60,-18.45,-34.50,15.19
2337,1.15,-1.55,-2.31,-22.461,-1.465,1094.727,-19.65,-15.60,-32.25,15.14
2349,-1.64,0.36,-3.62,233.398,99.609,1098.145,-19.35,-16.50,-33.00,15.19
2359,0.42,-1.33,-5.95,7.324,43.457,878.418,-19.35,-16.50,-31.50,15.14
2375,0.98,0.43,-3.75,134.277,-11.230,1077.637,-17.55,-17.10,-31.20,14.99
2384,-1.46,1.20,-6.37,243.652,80.078,1033.691,-16.65,-16.50,-31.50,15.14
2394,3.28,-0.93,-6.06,-75.195,0.000,1154.785,-17.10,-16.50,-31.80,15.38
2404,-0.95,0.63,-5.84,172.363,-39.063,1053.711,-17.10,-16.50,-31.80,15.19
2414,-1.60,2.06,-6.18,157.715,62.988,945.801,-19.50,-17.10,-31.20,15.23
2424,1.50,1.69,-6.69,-54.199,52.246,1120.605,-19.65,-17.70,-34.50,15.19
2436,-2.08,0.37,-4.82,184.082,12.207,950.195,-19.65,-17.70,-34.50,15.23
2446,-1.08,-0.92,-7.33,1.465,99.121,1167.480,-21.00,-15.00,-34.95,15.38
