Time_ms,GyroX_degps,GyroY_degps,GyroZ_degps,AccelX_g,AccelY_g,AccelZ_g,MagX_uT,MagY_uT,MagZ_uT,Temp_C
1310,-0.53,-2.89,-3.52,6.836,21.484,1007.324,-20.25,-9.45,-36.90,16.24
1326,0.95,-2.11,-0.04,55.176,56.641,1082.031,-20.25,-10.65,-36.15,16.10
1336,-1.67,0.33,-1.96,79.102,19.531,1002.441,-18.75,-10.65,-34.20,16.10
1346,-2.13,-1.23,0.44,123.535,55.664,1010.742,-18.45,-11.85,-34.65,16.10
1356,0.84,-0.55,1.11,104.004,27.344,1000.000,-19.65,-11.70,-34.80,16.05
1365,1.15,-0.45,3.05,60.547,21.484,1054.688,-18.15,-11.70,-35.25,15.95
1375,-0.42,-0.27,-0.44,53.223,36.133,967.773,-18.15,-11.70,-35.25,16.10
1385,-0.08,-2.67,-0.02,23.437,44.922,1018.555,-18.00,-12.30,-34.65,16.24
1397,-1.19,-0.34,-1.38,123.047,46.875,1025.879,-20.55,-13.65,-33.75,16.10
1407,0.12,0.63,-2.08,44.922,8.789,1031.738,-20.55,-13.65,-33.75,16.19
1417,-1.02,-0.66,-0.60,108.887,41.016,972.168,-18.15,-12.45,-34.05,16.19
1427,-0.16,-1.27,-2.18,85.938,38.574,1006.836,-17.25,-13.05,-33.90,15.95
1437,-0.56,-2.02,-1.78,31.250,29.785,975.586,-17.85,-12.15,-33.75,15.57
1447,0.08,-0.73,0.15,66.895,2.930,1093.750,-17.25,-10.65,-33.90,16.10
1456,-0.37,0.13,1.06,120.117,33.203,993.652,-17.25,-10.65,-33.90,16.05
1468,0.05,-0.38,-2.08,134.766,22.949,1082.031,-18.45,-11.85,-34.20,16.19
1478,0.27,-0.95,-1.28,88.867,30.273,934.570,-16.65,-10.95,-34.50,16.19
1488,-0.36,-0.38,-3.16,34.668,31.250,1044.434,-16.65,-10.95,-34.50,16.19
1498,0.51,-0.64,-2.56,88.867,20.020,992.187,-19.50,-12.30,-34.65,16.10
1508,-0.31,-1.69,0.20,108.887,17.090,1039.063,-19.50,-12.30,-34.95,15.86
1518,-2.52,-1.32,-1.68,103.516,14.648,1021.973,-20.10,-12.45,-36.00,16.10
1528,0.36,0.73,-1.52,24.902,31.738,1016.602,-20.85,-12.45,-37.05,16.24
1540,-0.58,-1.86,-2.15,67.871,24.414,970.215,-20.85,-12.45,-37.05,16.10
1550,-0.14,0.76,-2.96,121.582,35.645,1047.363,-22.20,-11.55,-37.65,16.24
1560,-0.44,1.27,-1.18,145.020,30.273,961.914,-21.30,-10.95,-36.00,16.24
1570,1.57,-0.34,-3.32,18.066,1.465,1087.891,-21.30,-10.95,-36.00,15.86
1580,-1.14,-0.53,-2.77,118.164,27.832,1084.961,-21.30,-11.25,-37.50,16.10
1590,-1.48,1.44,-0.96,161.621,15.625,1028.320,-22.20,-13.50,-37.35,15.91
1600,-1.76,0.78,-0.91,88.379,34.180,1001.953,-22.95,-12.75,-35.40,16.24
1612,0.94,0.98,-1.09,58.105,35.645,992.676,-22.05,-12.15,-36.30,16.05
1622,-1.35,-0.79,-2.31,144.043,32.715,941.895,-22.05,-12.15,-36.30,16.10
1632,1.57,-0.82,-1.66,166.016,37.598,1009.277,-20.10,-12.90,-33.75,16.05
1642,-1.13,0.71,-2.54,-14.160,62.988,970.703,-17.85,-12.45,-34.50,16.19
1652,0.59,-0.43,-0.35,153.320,32.227,1100.098,-17.85,-12.45,-34.50,16.05
